Month/year,Annual_variation
January 2010,-2.55%
April 2010,-0.34%
July 2010,0.54%
October 2010,0.23%
January 2011,1.10%
April 2011,0.13%
July 2011,0.25%
October 2011,-0.04%
January 2012,0.42%
April 2012,1.55%
July 2012,0.61%
October 2012,1.32%
January 2013,1.61%
April 2013,1.48%
July 2013,1.93%
October 2013,0.96%
January 2014,1.09%
April 2014,2.12%
July 2014,1.96%
October 2014,2.75%
January 2015,4.24%
April 2015,3.34%
July 2015,3.58%
October 2015,5.37%
January 2016,5.89%
April 2016,6.86%
July 2016,7.89%
October 2016,7.36%
January 2017,5.06%
April 2017,4.37%
July 2017,4.01%
October 2017,4.76%
January 2018,5.30%
April 2018,4.79%
July 2018,5.03%
October 2018,4.18%
January 2019,3.91%
April 2019,4.21%
July 2019,3.80%
October 2019,5.23%
January 2020,5.29%
April 2020,5.76%
July 2020,8.88%
October 2020,8.85%
January 2021,7.70%
April 2021,9.08%
July 2021,8.56%
October 2021,7.53%
January 2022,7.06%
April 2022,3.35%
July 2022,-2.17%
October 2022,-10.18%
January 2023,-13.47%
April 2023,-15.00%
July 2023,-14.98%
October 2023,-10.82%
January 2024,-7.49%
April 2024,-4.66%
July 2024,-2.06%
October 2024,-0.37%
January 2025,1.23%
April 2025,1.09%
