Month/year,Annual_variation
January 2010,-0.07%
April 2010,3.01%
July 2010,4.24%
October 2010,5.05%
January 2011,4.74%
April 2011,4.43%
July 2011,3.71%
October 2011,1.23%
January 2012,-0.56%
April 2012,-2.15%
July 2012,-3.49%
October 2012,-3.55%
January 2013,-3.03%
April 2013,-2.88%
July 2013,-2.81%
October 2013,-2.17%
January 2014,-2.17%
April 2014,-1.79%
July 2014,-1.65%
October 2014,-2.42%
January 2015,-1.64%
April 2015,-2.18%
July 2015,-1.45%
October 2015,-0.19%
January 2016,0.34%
April 2016,0.71%
July 2016,1.20%
October 2016,1.09%
January 2017,1.56%
April 2017,2.39%
July 2017,2.33%
October 2017,2.17%
January 2018,1.55%
April 2018,0.89%
July 2018,0.48%
October 2018,1.31%
January 2019,1.70%
April 2019,2.05%
July 2019,2.38%
October 2019,2.66%
January 2020,3.64%
April 2020,4.88%
July 2020,4.53%
October 2020,5.78%
January 2021,4.75%
April 2021,4.61%
July 2021,5.31%
October 2021,4.05%
January 2022,3.21%
April 2022,1.41%
July 2022,0.54%
October 2022,-1.28%
January 2023,-2.94%
April 2023,-4.27%
July 2023,-5.97%
October 2023,-7.05%
January 2024,-7.35%
